index,name,price,product_url
40,Unisex Adult Trigger Black White-Quarry Running Shoe,"₹1,499",https://www.amazon.com/Puma-19486601-PUMA-Trigger/dp/B08TRHCVRQ/ref=sr_1_40?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-40
41,Men's Court Rage M Shoes,"₹2,070",https://www.amazon.com/Adidas-Court-Scarlet-Black-GA0945/dp/B096NCZHS9/ref=sr_1_41?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-41
42,Men's Sport Sneakers Shoes,₹289,https://www.amazon.com/WORLD-WEAR-FOOTWEAR-Sport-Sneakers/dp/B0B577Y6FZ/ref=sr_1_42?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&smid=ALY42A2O6IXXH&sr=1-42
43,Men's (9462) White Sport Sneakers Shoes,₹338,https://www.amazon.com/WORLD-WEAR-FOOTWEAR-White-Sneakers/dp/B0B5QS137P/ref=sr_1_43?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-43
44,"Men's Moonwalk-01 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Slip-on Shoes for Men's & Boy's…",₹497,https://www.amazon.com/ASIAN-Moonwalk-01-Sports-Running-Walking/dp/B0B8DMBCRX/ref=sr_1_44?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-44
45,Men Genuine Leather Formal Shoes,₹952,https://www.amazon.com/FENTACIA-Black-Genuine-Leather-Formal/dp/B09J97NNFV/ref=sr_1_45?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-45
46,Mens Gc 2336116 Sneaker,"₹2,397",https://www.amazon.com/Woodland-Olive-Sneakers-7-GC-2336116/dp/B07CWNXV5Q/ref=sr_1_46?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-46
47,"Men's Synthetic Sports,Running,Casual Loafer Shoes for Boy's",₹449,https://www.amazon.com/ASIAN-Superfit-Black-Running-Shoes/dp/B07BHVZ3MP/ref=sr_1_47?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-47
48,Mens Lqdcell Method Training Shoe,"₹2,379",https://www.amazon.com/LQDCELL-Method-Running-Shoes-Black/dp/B08143X38V/ref=sr_1_48?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-48
49,"Wind-03 Sports Running,Walking & Gym Shoes with Eva Sole Casual Lightweight Slip-On Shoes for Men's & Boy's",₹547,https://www.amazon.com/ASIAN-Wind-03-Running-Walking-Lightweight/dp/B09X5XKX88/ref=sr_1_49?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-49
